surface,chambres,sdb,etage,location,prix
32 m²,1 chambre,1 sdb,Étage 4,"Saies, Fès",800 000 000
64 m²,2 chambres,1 sdb,Étage 2,"Autre secteur, Fès",Not Specified
48 m²,2 chambres,1 sdb,Étage 2,"Route Ain Chkaf, Fès",180 000
109 m²,3 chambres,2 sdbs,Étage 4,"Oued Fès, Fès",680 000
115 m²,3 chambres,1 sdb,Étage 1,"Agdal, Fès",650 000
62 m²,2 chambres,1 sdb,Étage 2,"Autre secteur, Fès",250 000
145 m²,3 chambres,2 sdbs,Rez de chaussée,"Centre, Fès",1 350 000
75 m²,2 chambres,2 sdbs,Étage 1,"Ouled Tayeb, Fès",250 000
86 m²,3 chambres,0 sdb,Rez de chaussée,"Al Hadiqa, Fès",465 000
80 m²,2 chambres,1 sdb,Étage 1,"Zouagha, Fès",300 000
130 m²,3 chambres,3 sdbs,Étage 2,"Ain Amiyer, Fès",754 000
70 m²,2 chambres,1 sdb,Étage 2,"Ouled Tayeb, Fès",Not Specified
149 m²,3 chambres,2 sdbs,Étage 3,"Autre secteur, Fès",960 000
55 m²,1 chambre,2 sdbs,Étage 1,"Autre secteur, Fès",140 000
125 m²,3 chambres,3 sdbs,Rez de chaussée,"Route d'Immouzere, Fès",900 000
220 m²,3 chambres,2 sdbs,Étage 1,"Centre, Fès",890 000
147 m²,3 chambres,2 sdbs,Étage 4,"Champ de course, Fès",1 100 000
75 m²,2 chambres,1 sdb,Étage 1,"Zouagha, Fès",280 000
136 m²,3 chambres,3 sdbs,Étage 4,"Centre, Fès",1 000 000
75 m²,2 chambres,1 sdb,Étage 1,"Route d'Immouzere, Fès",300 000
154 m²,1 chambre,3 sdbs,Étage 4,Fès,Not Specified
Not Specified,3 chambres,2 sdbs,Étage 1,"Route Ain Chkaf, Fès",700 000
Not Specified,1 chambre,1 sdb,Rez de chaussée,"Route d'Immouzere, Fès",750 000
Not Specified,1 chambre,1 sdb,Rez de chaussée,"Route d'Immouzere, Fès",750 000
131 m²,2 chambres,1 sdb,Étage 1,"Ouled Tayeb, Fès",Not Specified
76 m²,3 chambres,1 sdb,Étage 2,"Route Ain Chkaf, Fès",390 000
57 m²,1 chambre,1 sdb,Rez de chaussée,"Route d'Immouzere, Fès",750 000
Not Specified,3 chambres,2 sdbs,Étage 1,"Route d'Immouzere, Fès",780 000
112 m²,3 chambres,2 sdbs,Rez de chaussée,"Oued Fès, Fès",590 000
100 m²,3 chambres,2 sdbs,Étage 2,"Zouagha, Fès",46
78 m²,2 chambres,2 sdbs,Rez de chaussée,"Mont fleuri, Fès",450 000
60 m²,2 chambres,2 sdbs,Étage 2,"Ben Souda, Fès",350 000
Not Specified,3 chambres,2 sdbs,Étage 4,"Narjis, Fès",Not Specified
Not Specified,2 chambres,Not Specified,Étage 1,"Centre, Fès",Not Specified
91 m²,3 chambres,1 sdb,Étage 4,"Autre secteur, Fès",560 000
100 m²,3 chambres,1 sdb,Étage 2,"Hay Riad, Fès",480 000
Not Specified,2 chambres,2 sdbs,Rez de chaussée,"Oued Fès, Fès",390 000
145 m²,3 chambres,2 sdbs,Not Specified,"Autre secteur, Fès",1 300 000
106 m²,2 chambres,1 sdb,Étage 2,"Autre secteur, Fès",370 000
154 m²,3 chambres,2 sdbs,Not Specified,"Autre secteur, Fès",950 000
126 m²,2 chambres,0 sdb,Rez de chaussée,"Autre secteur, Fès",Not Specified
Not Specified,2 chambres,1 sdb,Étage 2,"Al Hadiqa, Fès",Not Specified
Not Specified,3 chambres,2 sdbs,Étage 1,"Route de Meknes, Fès",62
95 m²,3 chambres,2 sdbs,Étage 1,"Oued Fès, Fès",650 000
94 m²,3 chambres,2 sdbs,Étage 1,"Al Hadiqa, Fès",560 000
71 m²,2 chambres,2 sdbs,Étage 2,"Autre secteur, Fès",500 000
70 m²,2 chambres,1 sdb,Rez de chaussée,"Route Ain Chkaf, Fès",25
67 m²,1 chambre,1 sdb,Rez de chaussée,"Saies, Fès",340 000
218 m²,4 chambres,2 sdbs,Étage 4,"Agdal, Fès",750 000
100 m²,3 chambres,1 sdb,Étage 1,"Zouagha, Fès",540 000
Not Specified,2 chambres,1 sdb,Étage 2,"Ouled Tayeb, Fès",230 000
76 m²,2 chambres,1 sdb,Étage 3,"Route Ain Chkaf, Fès",460 000
96 m²,2 chambres,2 sdbs,Étage 1,"Ouled Tayeb, Fès",Not Specified
152 m²,3 chambres,2 sdbs,Étage 3,"Agdal, Fès",720 000
155 m²,3 chambres,2 sdbs,Étage 1,"Route Ain Chkaf, Fès",Not Specified
253 m²,4 chambres,2 sdbs,Étage 3,"Autre secteur, Fès",2 000 000
144 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Fès",950 000
Not Specified,3 chambres,1 sdb,Étage 1,"Autre secteur, Fès",220 000
94 m²,3 chambres,2 sdbs,Étage 1,"Oued Fès, Fès",660 000
180 m²,3 chambres,2 sdbs,Étage 1,"Agdal, Fès",Not Specified
128 m²,3 chambres,2 sdbs,Étage 1,"Route Ain Chkaf, Fès",Not Specified
109 m²,3 chambres,2 sdbs,Étage 1,"Oued Fès, Fès",Not Specified
65 m²,2 chambres,1 sdb,Étage 3,"Route Ain Chkaf, Fès",1
85 m²,2 chambres,2 sdbs,Étage 1,"Route Ain Chkaf, Fès",500 000
Not Specified,3 chambres,1 sdb,Étage 1,"Hay Saada, Fès",620 000
123 m²,3 chambres,2 sdbs,Étage 4,"Autre secteur, Fès",Not Specified
174 m²,4 chambres,3 sdbs,Étage 1,"Route Ain Chkaf, Fès",830 000
50 m²,1 chambre,1 sdb,Étage 1,"Belkhiat, Fès",10
60 m²,2 chambres,1 sdb,Étage 4,"Route Ain Chkaf, Fès",250 000
85 m²,2 chambres,1 sdb,Rez de chaussée,"Hay Riad, Fès",270 000
68 m²,1 chambre,1 sdb,Rez de chaussée,"Autre secteur, Fès",280 000
123 m²,3 chambres,2 sdbs,Étage 2,"Mont Fleuri 2, Fès",Not Specified
100 m²,2 chambres,1 sdb,Étage 2,"Route de Sefrou, Fès",380 000
115 m²,3 chambres,2 sdbs,Étage 3,"Hay Atlas, Fès",880 000
174 m²,3 chambres,2 sdbs,Étage 2,"Route Ain Chkaf, Fès",1 600 000
86 m²,3 chambres,2 sdbs,Étage 3,"Zouagha, Fès",320 000
54 m²,3 chambres,2 sdbs,Étage 1,"Route Ain Chkaf, Fès",54
92 m²,2 chambres,2 sdbs,Étage 1,"Autre secteur, Fès",450 000
121 m²,3 chambres,1 sdb,Étage 2,"Oued Fès, Fès",440 000
Not Specified,2 chambres,2 sdbs,Étage 2,"Ouled Tayeb, Fès",Not Specified
124 m²,3 chambres,2 sdbs,Étage 2,"Narjis, Fès",880 000
138 m²,5 chambres,2 sdbs,Étage 1,"Route Ain Chkaf, Fès",900 000
266 m²,3 chambres,3 sdbs,Étage 4,"Centre, Fès",1 300 000
125 m²,3 chambres,2 sdbs,Étage 1,"Oued Fès, Fès",740 000
Not Specified,3 chambres,Not Specified,Étage 1,"Route Ain Chkaf, Fès",440 000
93 m²,2 chambres,1 sdb,Étage 3,"Narjis, Fès",450 000
160 m²,2 chambres,3 sdbs,Étage 1,"Route de Meknes, Fès",56
174 m²,3 chambres,3 sdbs,Étage 2,"Route Ain Chkaf, Fès",Not Specified
183 m²,3 chambres,3 sdbs,Étage 1,"Agdal, Fès",Not Specified
60 m²,2 chambres,1 sdb,Étage 3,"Zouagha, Fès",Not Specified
76 m²,2 chambres,1 sdb,Étage 2,"Agdal, Fès",360 000
93 m²,3 chambres,2 sdbs,Étage 4,"Hay Riad, Fès",465 000
60 m²,2 chambres,1 sdb,Étage 1,"Zouagha, Fès",140 000
118 m²,3 chambres,2 sdbs,Étage 4,"Route Ain Chkaf, Fès",900 000
95 m²,3 chambres,1 sdb,Étage 1,"Autre secteur, Fès",560 000
Not Specified,2 chambres,1 sdb,Étage 2,"Hay Riad, Fès",550 000
121 m²,3 chambres,2 sdbs,Étage 2,"Route d'Immouzere, Fès",530 000
63 m²,2 chambres,2 sdbs,Étage 2,"Mont fleuri, Fès",370 000
75 m²,3 chambres,2 sdbs,Étage 1,"Oued Fès, Fès",260 000
145 m²,3 chambres,2 sdbs,Étage 2,"Centre, Fès",Not Specified
102 m²,2 chambres,2 sdbs,Étage 1,"Agdal, Fès",495 000
88 m²,3 chambres,3 sdbs,Étage 1,"Route Ain Chkaf, Fès",540 000
75 m²,3 chambres,2 sdbs,Étage 1,"Oued Fès, Fès",250 000
98 m²,2 chambres,1 sdb,Étage 1,"Ouled Tayeb, Fès",Not Specified
85 m²,2 chambres,2 sdbs,Étage 2,"Agdal, Fès",44 000
104 m²,2 chambres,2 sdbs,Étage 1,"Zouagha, Fès",500 000
160 m²,3 chambres,2 sdbs,Étage 1,"Champ de course, Fès",900 000
103 m²,2 chambres,3 sdbs,Étage 2,"Autre secteur, Fès",520 000
120 m²,2 chambres,2 sdbs,Étage 1,"Fès Médina, Fès",320 000
94 m²,2 chambres,2 sdbs,Étage 1,"Autre secteur, Fès",32
Not Specified,3 chambres,2 sdbs,Étage 1,"Route Ain Chkaf, Fès",60
100 m²,4 chambres,2 sdbs,Étage 2,"Route Ain Chkaf, Fès",700 000
Not Specified,3 chambres,2 sdbs,Étage 2,"Ben Souda, Fès",600 000
130 m²,3 chambres,2 sdbs,Étage 1,"Mont fleuri, Fès",795 000
85 m²,4 chambres,2 sdbs,Étage 2,"Route Ain Chkaf, Fès",1 600 000
140 m²,3 chambres,2 sdbs,Étage 4,"Route de Sefrou, Fès",620 000
76 m²,2 chambres,1 sdb,Étage 1,"Autre secteur, Fès",550 000
140 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Fès",900 000
200 m²,3 chambres,2 sdbs,Rez de chaussée,"Agdal, Fès",1 580 000
132 m²,3 chambres,2 sdbs,Étage 1,"Oued Fès, Fès",700 000
Not Specified,2 chambres,1 sdb,Étage 2,"Ancienne Médina, Fès",41
111 m²,3 chambres,2 sdbs,Étage 1,"Route Ain Chkaf, Fès",Not Specified
111 m²,3 chambres,2 sdbs,Étage 1,"Route Ain Chkaf, Fès",560 000
149 m²,3 chambres,2 sdbs,Étage 3,"Route Ain Chkaf, Fès",98
111 m²,3 chambres,2 sdbs,Étage 1,"Route Ain Chkaf, Fès",Not Specified
Not Specified,3 chambres,Not Specified,Étage 3,"Centre, Fès",Not Specified
124 m²,3 chambres,2 sdbs,Étage 3,"Route d'Immouzere, Fès",980 000
110 m²,2 chambres,2 sdbs,Étage 3,"Centre, Fès",600 000
70 m²,2 chambres,1 sdb,Étage 4,"Oued Fès, Fès",250 000
151 m²,3 chambres,3 sdbs,Étage 2,"Hay Atlas, Fès",Not Specified
90 m²,2 chambres,1 sdb,Étage 2,"Ben Souda, Fès",395 000
65 m²,2 chambres,1 sdb,Étage 3,"Hay Saada, Fès",350 000
