surface,chambres,sdb,etage,location,prix
149 m²,3 chambres,3 sdbs,Étage 1,"Agdal, Rabat",3 500 000
Not Specified,1 chambre,2 sdbs,Étage 4,"Kébibat, Rabat",990 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,9 900
107 m²,4 chambres,2 sdbs,Étage 2,"Rabat, Hay Riad",1 150 000
156 m²,3 chambres,2 sdbs,Étage 4,"Rabat, Souissi",6 600 000
Not Specified,3 chambres,2 sdbs,Étage 1,"Rabat, Agdal",3 200 000
Not Specified,1 chambre,Not Specified,Étage 2,"Aviation - Mabella, Rabat",1 320 000
147 m²,2 chambres,2 sdbs,Étage 1,"Abi Ragrag, Rabat",3 600 000
124 m²,3 chambres,2 sdbs,Étage 2,"Médina de Rabat, Rabat",235
80 m²,2 chambres,1 sdb,Étage 3,"Hay Nahda, Rabat",800 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,750 000
152 m²,3 chambres,3 sdbs,Étage 1,"Hay Riad, Rabat",Not Specified
152 m²,3 chambres,3 sdbs,Étage 1,"Hay Riad, Rabat",Not Specified
177 m²,6 chambres,2 sdbs,Étage 2,"Diour Jamaa, Rabat",2 800 000
Not Specified,3 chambres,3 sdbs,Étage 4,"Agdal, Rabat",3 550 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,680 000
140 m²,3 chambres,3 sdbs,Étage 2,"Hay Riad, Rabat",5 000 000
170 m²,3 chambres,2 sdbs,Étage 2,"Agdal, Rabat",3 300 000
94 m²,2 chambres,2 sdbs,Étage 1,"Hay Riad, Rabat",2 650 000
60 m²,2 chambres,1 sdb,Étage 1,"Hay Arrachad, Rabat",190 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 995 000
147 m²,3 chambres,3 sdbs,Étage 7,"Hay Riad, Rabat",3 650 000
108 m²,2 chambres,1 sdb,Not Specified,"Hay Nahda, Rabat",1 200 000
Not Specified,2 chambres,2 sdbs,Étage 4,"Hassan, Rabat",1 900 000
154 m²,3 chambres,1 sdb,Rez de chaussée,"Autre secteur, Rabat",2 600 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,9 900
