surface,chambres,sdb,etage,location,prix
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,974 283
Not Specified,3 chambres,2 sdbs,Étage 2,"Ville Nouvelle, Agadir",950 000
9 m²,1 chambre,Not Specified,Rez de chaussée,"Secteur Touristique, Agadir",800 000
54 m²,2 chambres,1 sdb,Étage 1,"Hay Salam, Agadir",640 000
65 m²,2 chambres,2 sdbs,Étage 1,"Autre secteur, Agadir",10 000
50 m²,2 chambres,1 sdb,Rez de chaussée,"Cité Adrar, Agadir",540
Not Specified,2 chambres,1 sdb,Rez de chaussée,"Taddart Anza, Agadir",640 000
54 m²,2 chambres,1 sdb,Rez de chaussée,"Hay Mohammadi, Agadir",Not Specified
78 m²,2 chambres,2 sdbs,Étage 1,"Hay Salam, Agadir",Not Specified
106 m²,2 chambres,2 sdbs,Étage 1,"Al Wifaq, Agadir",13 500
55 m²,1 chambre,1 sdb,Étage 7,"Hay Mohammadi, Agadir",950 000
126 m²,3 chambres,2 sdbs,Étage 1,"Hay Mohammadi, Agadir",13 000
85 m²,3 chambres,2 sdbs,Étage 1,"Agadir, Abattoirs",807 500
71 m²,2 chambres,2 sdbs,Rez de chaussée,"Agadir, El Houda",840 000
112 m²,3 chambres,2 sdbs,Étage 4,"Agadir, Sonaba",2 600 000
109 m²,2 chambres,1 sdb,Étage 1,"Tamraght, Agadir",4 500 000
Not Specified,2 chambres,1 sdb,Étage 1,"Tamraght, Agadir",3 800 000
Not Specified,2 chambres,1 sdb,Étage 3,"Hay Salam, Agadir",540 000
83 m²,2 chambres,2 sdbs,Étage 2,"Hay Mohammadi, Agadir",Not Specified
50 m²,2 chambres,1 sdb,Étage 3,"Hay Salam, Agadir",540 000
95 m²,2 chambres,2 sdbs,Étage 1,"Centre Ville, Agadir",160 000
95 m²,2 chambres,2 sdbs,Étage 1,"Centre Ville, Agadir",160 000
52 m²,2 chambres,1 sdb,Étage 1,"Hay Salam, Agadir",700 000
58 m²,2 chambres,1 sdb,Étage 4,"Cité Adrar, Agadir",580 000
52 m²,2 chambres,1 sdb,Étage 4,"Hay Salam, Agadir",500 000
47 m²,2 chambres,1 sdb,Étage 4,"Centre Ville, Agadir",46
Not Specified,2 chambres,Not Specified,Étage 4,"Hay Mohammadi, Agadir",460 000
68 m²,2 chambres,1 sdb,Étage 6,"Hay Mohammadi, Agadir",650 000
71 m²,2 chambres,2 sdbs,Étage 3,"Hay Salam, Agadir",820 000
Not Specified,3 chambres,2 sdbs,Étage 1,"Autre secteur, Agadir",1 450 000
74 m²,2 chambres,1 sdb,Étage 4,"Hay Salam, Agadir",Not Specified
Not Specified,2 chambres,1 sdb,Étage 1,"Hay Mohammadi, Agadir",860 000
170 m²,3 chambres,2 sdbs,Étage 2,"Hay Zaytoun, Agadir",900 000
78 m²,2 chambres,2 sdbs,Étage 1,"Hay Salam, Agadir",840 000
68 m²,2 chambres,2 sdbs,Rez de chaussée,"Hay Salam, Agadir",850 000
