surface,chambres,sdb,etage,location,prix
71 m²,2 chambres,2 sdbs,Rez de chaussée,"Tanger, Malabata",135 000 000
69 m²,2 chambres,2 sdbs,Étage 4,"Tanger, Hay Hassani",810 000
40 m²,2 chambres,1 sdb,Étage 2,"Tanger, Centre",Not Specified
40 m²,2 chambres,1 sdb,Étage 2,"Centre, Tanger",Not Specified
62 m²,2 chambres,1 sdb,Étage 5,"Du Golf, Tanger",520 000
Not Specified,3 chambres,Not Specified,Étage 2,"Autre secteur, Tanger",Not Specified
80 m²,2 chambres,1 sdb,Étage 7,"Malabata, Tanger",1 900 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 000 000
80 m²,2 chambres,1 sdb,Étage 4,"Val Fleuri, Tanger",1 380 000
Not Specified,2 chambres,1 sdb,Étage 2,"Centre, Tanger",Not Specified
86 m²,2 chambres,1 sdb,Étage 3,"Hay Hassani, Tanger",13 000
57 m²,2 chambres,1 sdb,Étage 5,"Val Fleuri, Tanger",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 400 000
144 m²,2 chambres,1 sdb,Étage 3,"Autre secteur, Tanger",1 980 000
58 m²,2 chambres,1 sdb,Rez de chaussée,"Autre secteur, Tanger",510 000
Not Specified,2 chambres,0 sdb,Étage 2,"Centre, Tanger",Not Specified
Not Specified,2 chambres,1 sdb,Étage 1,"Centre, Tanger",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,650 000
80 m²,2 chambres,1 sdb,Étage 2,"Malabata, Tanger",Not Specified
62 m²,2 chambres,1 sdb,Étage 6,"Autre secteur, Tanger",550 000
85 m²,2 chambres,1 sdb,Étage 9,"Autre secteur, Tanger",55
88 m²,3 chambres,1 sdb,Étage 2,"Aharrarine, Tanger",12 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 800 000
98 m²,3 chambres,1 sdb,Étage 6,"Aida, Tanger",1 300 000
69 m²,2 chambres,1 sdb,Étage 5,"Autre secteur, Tanger",800 000
81 m²,2 chambres,2 sdbs,Étage 3,"Marjane, Tanger",1 300 000
