surface,chambres,sdb,etage,location,prix
Not Specified,Not Specified,Not Specified,Not Specified,Meknès,Not Specified
65 m²,2 chambres,1 sdb,Étage 3,"Marjane 2, Meknès",24 000
96 m²,2 chambres,2 sdbs,Rez de chaussée,"Wislane, Meknès",500 000
140 m²,3 chambres,2 sdbs,Étage 4,"Ville Nouvelle, Meknès",11 000 000
63 m²,3 chambres,2 sdbs,Rez de chaussée,"Autre secteur, Meknès",350 000
Not Specified,3 chambres,2 sdbs,Étage 3,"Autre secteur, Meknès",650 000
100 m²,3 chambres,2 sdbs,Étage 4,"Autre secteur, Meknès",540 000
156 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Meknès",840 000
120 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Meknès",Not Specified
160 m²,3 chambres,2 sdbs,Étage 1,"Zitoune, Meknès",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,"Wislane, Meknès",50
140 m²,3 chambres,2 sdbs,Étage 4,"Hamria, Meknès",1 000 000
164 m²,3 chambres,2 sdbs,Étage 4,"Hamria, Meknès",850 000
68 m²,3 chambres,0 sdb,Étage 1,"Riad Toulal, Meknès",320 000
80 m²,2 chambres,1 sdb,Rez de chaussée,"Hay Salam, Meknès",700 000
70 m²,2 chambres,1 sdb,Étage 1,"Riad Toulal, Meknès",280 000
75 m²,2 chambres,1 sdb,Étage 1,"Riad Toulal, Meknès",360 000
87 m²,2 chambres,1 sdb,Étage 1,"Riad Toulal, Meknès",420 000
100 m²,4 chambres,1 sdb,Étage 1,"Wislane, Meknès",500 000
145 m²,3 chambres,2 sdbs,Étage 3,"Hamria, Meknès",835 000
76 m²,3 chambres,2 sdbs,Étage 3,"Ville Nouvelle, Meknès",490 000
92 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",570 000
155 m²,4 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",Not Specified
75 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Meknès",250 000
110 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",550 000
97 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",Not Specified
90 m²,2 chambres,1 sdb,Étage 1,"Autre secteur, Meknès",500 000
60 m²,2 chambres,1 sdb,Étage 1,"Autre secteur, Meknès",260 000
60 m²,2 chambres,1 sdb,Rez de chaussée,"Meknès, Autre secteur",350 000
Not Specified,3 chambres,1 sdb,Étage 1,"Meknès, Autre secteur",390 000
106 m²,3 chambres,2 sdbs,Étage 1,"Meknès, Marjane 2",805 000
80 m²,2 chambres,1 sdb,Étage 2,"Autre secteur, Meknès",50
Not Specified,5 chambres,4 sdbs,Étage 3,"Riad Toulal, Meknès",1
78 m²,3 chambres,1 sdb,Étage 1,"El Bassatine, Meknès",46
6536 m²,2 chambres,2 sdbs,Rez de chaussée,"Marjane 2, Meknès",36
Not Specified,2 chambres,Not Specified,Rez de chaussée,"Autre secteur, Meknès",Not Specified
70 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",265 000
Not Specified,2 chambres,1 sdb,Étage 2,"El Bassatine, Meknès",340 000
200 m²,3 chambres,2 sdbs,Étage 3,"Hamria, Meknès",2 200 000
87 m²,3 chambres,1 sdb,Étage 1,"El Bassatine, Meknès",53
97 m²,3 chambres,2 sdbs,Étage 3,"El Bassatine, Meknès",Not Specified
85 m²,2 chambres,2 sdbs,Rez de chaussée,"Autre secteur, Meknès",Not Specified
85 m²,2 chambres,2 sdbs,Rez de chaussée,"Autre secteur, Meknès",Not Specified
Not Specified,4 chambres,Not Specified,Étage 6,"Hamria, Meknès",140 000 000
Not Specified,2 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",290 000
71 m²,2 chambres,2 sdbs,Étage 3,"Marjane 2, Meknès",450 000
60 m²,2 chambres,2 sdbs,Rez de chaussée,"Autre secteur, Meknès",20
80 m²,2 chambres,1 sdb,Étage 1,"Riad Toulal, Meknès",300 000
Not Specified,2 chambres,1 sdb,Étage 1,"Zitoune, Meknès",Not Specified
120 m²,3 chambres,2 sdbs,Rez de chaussée,"Wislane, Meknès",420 000
65 m²,2 chambres,1 sdb,Étage 2,"El Bassatine, Meknès",300 000
65 m²,2 chambres,1 sdb,Étage 1,"El Bassatine, Meknès",300 000
174 m²,3 chambres,2 sdbs,Étage 3,"Hamria, Meknès",1 000 000
90 m²,2 chambres,2 sdbs,Étage 3,"Autre secteur, Meknès",Not Specified
80 m²,2 chambres,1 sdb,Étage 2,"Marjane 2, Meknès",410 000
81 m²,2 chambres,2 sdbs,Étage 1,"Autre secteur, Meknès",29
90 m²,3 chambres,2 sdbs,Étage 3,"El Bassatine, Meknès",42
96 m²,3 chambres,2 sdbs,Étage 3,"Autre secteur, Meknès",680 000
Not Specified,3 chambres,2 sdbs,Étage 1,"Hamria, Meknès",1 150 000
110 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Meknès",580 000
70 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",37 000
75 m²,2 chambres,1 sdb,Étage 4,"Riad Toulal, Meknès",300 000
12 m²,3 chambres,2 sdbs,Rez de chaussée,"Marjane 2, Meknès",650 000
70 m²,3 chambres,1 sdb,Étage 2,"Autre secteur, Meknès",310 000
137 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Meknès",Not Specified
Not Specified,3 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",Not Specified
106 m²,3 chambres,2 sdbs,Étage 1,"Meknès, Marjane 2",805 000
60 m²,2 chambres,1 sdb,Rez de chaussée,"Meknès, Autre secteur",350 000
Not Specified,3 chambres,1 sdb,Étage 1,"Meknès, Autre secteur",390 000
90 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",500 000
82 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Meknès",420 000
169 m²,3 chambres,2 sdbs,Étage 2,"Hamria, Meknès",1 300 000
Not Specified,2 chambres,Not Specified,Étage 4,"El Bassatine, Meknès",480 000
169 m²,3 chambres,2 sdbs,Étage 2,"Ville Nouvelle, Meknès",1 300 000
92 m²,2 chambres,2 sdbs,Étage 2,"Hamria, Meknès",540 000
92 m²,2 chambres,2 sdbs,Étage 2,"Hamria, Meknès",540 000
