surface,chambres,sdb,etage,location,prix
Not Specified,2 chambres,1 sdb,Étage 1,"Ain Mezouar, Marrakech",550 000
Not Specified,2 chambres,2 sdbs,Rez de chaussée,"Guéliz, Marrakech",2 400 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,849 000
61 m²,2 chambres,1 sdb,Étage 1,"Es Saada, Marrakech",540 000
Not Specified,1 chambre,1 sdb,Étage 2,"Route de Casablanca, Marrakech",730 000
Not Specified,2 chambres,1 sdb,Étage 2,"Av Abdelkrim El Khattabi, Marrakech",980 000
Not Specified,2 chambres,1 sdb,Étage 1,"Route de Fès, Marrakech",750 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,936 000
72 m²,2 chambres,1 sdb,Étage 2,"Les Portes de Marrakech, Marrakech",600 000
157 m²,1 chambre,1 sdb,Rez de chaussée,"Autre secteur, Marrakech",1 750 000
Not Specified,1 chambre,Not Specified,Étage 2,"Victor Hugo, Marrakech",Not Specified
Not Specified,1 chambre,1 sdb,Étage 1,"Guéliz, Marrakech",1 200 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,690 000
Not Specified,1 chambre,1 sdb,Étage 3,"Guéliz, Marrakech",1 120 000
Not Specified,1 chambre,0 sdb,Étage 3,"Hay Izdihar, Marrakech",480 000
Not Specified,2 chambres,2 sdbs,Étage 1,"Guéliz, Marrakech",1 500 000
86 m²,2 chambres,2 sdbs,Étage 4,"Route de Casablanca, Marrakech",1 200 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,390 000
41 m²,1 chambre,1 sdb,Étage 2,"Hivernage, Marrakech",1 200 000
Not Specified,3 chambres,2 sdbs,Étage 1,"Ain Mezouar, Marrakech",1 850 000
117 m²,3 chambres,2 sdbs,Étage 5,"Harti, Marrakech",4 100 000
Not Specified,2 chambres,1 sdb,Étage 2,"Victor Hugo, Marrakech",1 200 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,400 000
Not Specified,2 chambres,1 sdb,Étage 1,"Route de Casablanca, Marrakech",920 000
84 m²,2 chambres,2 sdbs,Rez de chaussée,"Hay Charaf, Marrakech",1 250 000
Not Specified,3 chambres,2 sdbs,Rez de chaussée,"Ain Mezouar, Marrakech",1 750 000
69 m²,2 chambres,1 sdb,Rez de chaussée,"Hay Izdihar, Marrakech",1 300 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 408 000
Not Specified,2 chambres,0 sdb,Étage 2,"Av Mohammed VI, Marrakech",1 830 000
64 m²,2 chambres,1 sdb,Rez de chaussée,"Mabrouka, Marrakech",640 000
95 m²,2 chambres,2 sdbs,Étage 3,"Palmeraie, Marrakech",1 480 000
Not Specified,2 chambres,1 sdb,Rez de chaussée,"Victor Hugo, Marrakech",950 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,985 000
122 m²,2 chambres,1 sdb,Étage 4,"Bab Doukkala, Marrakech",1 400 000
54 m²,2 chambres,1 sdb,Étage 4,"Guéliz, Marrakech",1 000
121 m²,4 chambres,1 sdb,Rez de chaussée,"Rouidat, Marrakech",1 050 000
92 m²,3 chambres,1 sdb,Étage 1,"Centre Ville, Marrakech",1 614 800
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 505 000
125 m²,3 chambres,2 sdbs,Étage 1,"Guéliz, Marrakech",2 000 000
65 m²,2 chambres,1 sdb,Rez de chaussée,"Autre secteur, Marrakech",550 000
70 m²,3 chambres,1 sdb,Rez de chaussée,"Autre secteur, Marrakech",560 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 702 800
75 m²,2 chambres,1 sdb,Étage 5,"Marrakech, Victor Hugo",1 150 000
139 m²,3 chambres,2 sdbs,Étage 5,"Marrakech, Guéliz",3 300 000
73 m²,2 chambres,2 sdbs,Étage 1,"Marrakech, Bouaakkaz",920 000
52 m²,2 chambres,1 sdb,Étage 3,"Mabrouka, Marrakech",480 000
33 m²,1 chambre,1 sdb,Étage 3,"M'Hamid, Marrakech",250 000
104 m²,3 chambres,2 sdbs,Étage 3,"Semlalia, Marrakech",1 200 000
125 m²,3 chambres,2 sdbs,Étage 1,"Sidi Abbad, Marrakech",1 400 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 370 800
41 m²,1 chambre,1 sdb,Rez de chaussée,"Hay Izdihar, Marrakech",450 000
Not Specified,2 chambres,0 sdb,Étage 2,"Av Mohammed VI, Marrakech",2 410 000
62 m²,2 chambres,1 sdb,Étage 2,"Route de Tamansourt, Marrakech",300 000
60 m²,2 chambres,1 sdb,Étage 1,"Route de Casablanca, Marrakech",600 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 360 000
44 m²,1 chambre,1 sdb,Étage 2,"Hivernage, Marrakech",1 200 000
Not Specified,2 chambres,0 sdb,Étage 4,"M'Hamid, Marrakech",530 000
84 m²,2 chambres,2 sdbs,Étage 1,"Guéliz, Marrakech",1 600 000
83 m²,2 chambres,2 sdbs,Étage 4,"Guéliz, Marrakech",1 640 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,943 000
101 m²,2 chambres,1 sdb,Rez de chaussée,"Route d'Amezmiz, Marrakech",850 000
70 m²,3 chambres,1 sdb,Étage 2,"Autre secteur, Marrakech",640 000
60 m²,3 chambres,0 sdb,Étage 5,"Route de Casablanca, Marrakech",540 000
70 m²,2 chambres,2 sdbs,Étage 3,"Victor Hugo, Marrakech",1 350 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 036 000
84 m²,2 chambres,2 sdbs,Étage 1,"Guéliz, Marrakech",1 550 000
83 m²,2 chambres,2 sdbs,Étage 3,"Guéliz, Marrakech",1 650 000
56 m²,1 chambre,2 sdbs,Étage 3,"Guéliz, Marrakech",1 150 000
57 m²,2 chambres,1 sdb,Étage 3,"Mabrouka, Marrakech",650 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,980 000
89 m²,2 chambres,2 sdbs,Étage 2,"Route de Casablanca, Marrakech",1 300 000
Not Specified,2 chambres,2 sdbs,Rez de chaussée,"Agdal, Marrakech",2 100 000
139 m²,3 chambres,2 sdbs,Étage 5,"Guéliz, Marrakech",3 300 000
88 m²,2 chambres,2 sdbs,Étage 1,"Guéliz, Marrakech",1 986 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
178 m²,3 chambres,0 sdb,Étage 1,"Route de Tahanaoute, Marrakech",500 000
72 m²,2 chambres,2 sdbs,Étage 2,"Targa, Marrakech",600 000
52 m²,2 chambres,1 sdb,Étage 3,"Route de Casablanca, Marrakech",550 000
61 m²,2 chambres,1 sdb,Étage 2,"M'Hamid, Marrakech",610 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,430 000
59 m²,2 chambres,1 sdb,Étage 2,"M'Hamid, Marrakech",590 000
84 m²,2 chambres,1 sdb,Étage 2,"Guéliz, Marrakech",Not Specified
107 m²,3 chambres,2 sdbs,Étage 1,"Annakhil, Marrakech",1 070 000
Not Specified,3 chambres,1 sdb,Étage 4,"Rouidat, Marrakech",970 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,390 000
Not Specified,2 chambres,Not Specified,Étage 4,"Av Abdelkrim El Khattabi, Marrakech",1 450 000
58 m²,2 chambres,1 sdb,Étage 1,"Route d'Amezmiz, Marrakech",500 000
106 m²,2 chambres,2 sdbs,Étage 3,"Sidi Youssef Ben Ali, Marrakech",860 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,350 000
95 m²,2 chambres,2 sdbs,Étage 3,"Marrakech, Palmeraie",1 480 000
78 m²,2 chambres,2 sdbs,Étage 2,"Marrakech, Guéliz",Not Specified
Not Specified,2 chambres,2 sdbs,Rez de chaussée,"Marrakech, Agdal",2 600 000
140 m²,11 chambres,6 sdbs,Étage 3,"Route d'Ourika, Marrakech",260
55 m²,2 chambres,1 sdb,Étage 4,"Autre secteur, Marrakech",590 000
108 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Marrakech",2 500 000
67 m²,3 chambres,1 sdb,Rez de chaussée,"Akioud, Marrakech",550 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,640 000
64 m²,2 chambres,1 sdb,Étage 2,"Guéliz, Marrakech",1 250 000
53 m²,2 chambres,1 sdb,Étage 1,"Route de Casablanca, Marrakech",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,"Hay Izdihar, Marrakech",1 060 000
64 m²,2 chambres,1 sdb,Étage 1,"Route d'Amezmiz, Marrakech",560 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,250 000
64 m²,2 chambres,2 sdbs,Étage 1,"M'Hamid, Marrakech",580 000
105 m²,3 chambres,2 sdbs,Rez de chaussée,"Bouaakkaz, Marrakech",1 200 000
