surface,chambres,sdb,etage,location,prix
187 m²,2 chambres,2 sdbs,Étage 2,"Sidi Belyout, Casablanca",5 600 000
90 m²,2 chambres,1 sdb,Rez de chaussée,"Oulfa, Casablanca",950 000
77 m²,3 chambres,2 sdbs,Rez de chaussée,"Autre secteur, Casablanca",870 000
58 m²,2 chambres,1 sdb,Étage 3,"Oulfa, Casablanca",540 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 680 000
55 m²,2 chambres,1 sdb,Rez de chaussée,"Sidi Bernoussi, Casablanca",350 000
60 m²,2 chambres,1 sdb,Rez de chaussée,"Autre secteur, Casablanca",Not Specified
204 m²,4 chambres,4 sdbs,Étage 4,"Gauthier, Casablanca",4 250 000
82 m²,2 chambres,2 sdbs,Étage 2,"Ain Sebaa, Casablanca",905 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,836 000
Not Specified,1 chambre,1 sdb,Étage 1,"Casablanca Finance City, Casablanca",1 100 000
113 m²,3 chambres,2 sdbs,Étage 3,"Bourgogne, Casablanca",1 700 000
84 m²,3 chambres,2 sdbs,Étage 1,"Lissasfa, Casablanca",800 000
122 m²,3 chambres,2 sdbs,Étage 2,"Aïn Chock, Casablanca",1 540 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,784 900
Not Specified,1 chambre,0 sdb,Rez de chaussée,"Roches Noires, Casablanca",Not Specified
147 m²,3 chambres,2 sdbs,Étage 2,"Sidi Bernoussi, Casablanca",1 050 000
260 m²,3 chambres,4 sdbs,Étage 11,"Marina, Casablanca",7 300 000
143 m²,3 chambres,2 sdbs,Étage 2,"Californie, Casablanca",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 611 000
110 m²,2 chambres,2 sdbs,Rez de chaussée,"Sidi Maarouf, Casablanca",Not Specified
41 m²,1 chambre,1 sdb,Étage 2,"Roches Noires, Casablanca",640 000
99 m²,3 chambres,1 sdb,Étage 1,"Aïn Chock, Casablanca",900 000
112 m²,4 chambres,2 sdbs,Étage 1,"Errahma, Casablanca",920 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,615 000
69 m²,2 chambres,1 sdb,Étage 1,"Sidi Bernoussi, Casablanca",710 000
64 m²,1 chambre,1 sdb,Étage 5,"Casablanca Finance City, Casablanca",800 000
141 m²,3 chambres,3 sdbs,Étage 5,"Gauthier, Casablanca",2 650 000
96 m²,3 chambres,2 sdbs,Étage 1,"Hay Mohammadi, Casablanca",800 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 270 000
Not Specified,2 chambres,2 sdbs,Étage 1,"Maarif, Casablanca",1 130 000
247 m²,4 chambres,3 sdbs,Étage 1,"Aïn Diab, Casablanca",3 260 000
157 m²,3 chambres,2 sdbs,Étage 3,"Aïn Chock, Casablanca",2 500 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
Not Specified,1 chambre,1 sdb,Étage 5,"Casablanca, Anfa",950 000
56 m²,1 chambre,1 sdb,Étage 5,"Casablanca, Oasis",1 100 000
Not Specified,3 chambres,2 sdbs,Étage 2,"Casablanca, Quartier des Hôpitaux",1 990 000
215 m²,3 chambres,3 sdbs,Étage 8,"Casablanca Finance City, Casablanca",5 500 000
147 m²,4 chambres,3 sdbs,Étage 2,"Hay Mohammadi, Casablanca",1 200 000
165 m²,2 chambres,2 sdbs,Étage 1,"Maarif, Casablanca",1 661 000
121 m²,3 chambres,2 sdbs,Rez de chaussée,"Oulfa, Casablanca",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,620 000
93 m²,4 chambres,2 sdbs,Étage 3,"Hay Mohammadi, Casablanca",650 000
83 m²,2 chambres,2 sdbs,Étage 3,"Ain Sebaa, Casablanca",860 000
65 m²,1 chambre,1 sdb,Étage 5,"Casablanca Finance City, Casablanca",800 000
Not Specified,3 chambres,2 sdbs,Étage 3,"Autre secteur, Casablanca",745 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,880 000
Not Specified,2 chambres,1 sdb,Rez de chaussée,"Oulfa, Casablanca",320 000
55 m²,2 chambres,1 sdb,Rez de chaussée,"Ain Sebaa, Casablanca",640 000
156 m²,3 chambres,2 sdbs,Étage 2,"2 Mars, Casablanca",Not Specified
85 m²,2 chambres,0 sdb,Rez de chaussée,"Sidi Maarouf, Casablanca",950 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,250 000
270 m²,3 chambres,2 sdbs,Étage 2,"Hay Hassani, Casablanca",1 400 000
Not Specified,2 chambres,2 sdbs,Étage 2,"Al Qods, Casablanca",755 000
Not Specified,1 chambre,1 sdb,Étage 1,"Hermitage, Casablanca",850 000
91 m²,2 chambres,2 sdbs,Étage 5,"La Gironde, Casablanca",950 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 035 000
53 m²,2 chambres,1 sdb,Étage 3,"Ben M'sick, Casablanca",480 000
151 m²,3 chambres,3 sdbs,Étage 2,"C.I.L, Casablanca",1 900 000
Not Specified,3 chambres,Not Specified,Étage 3,"2 Mars, Casablanca",1 300 000
88 m²,2 chambres,2 sdbs,Étage 2,"Mers Sultan, Casablanca",950 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 100 000
43 m²,1 chambre,1 sdb,Étage 4,"Les Princesses, Casablanca",970 000
36 m²,1 chambre,1 sdb,Étage 3,"Maârif Extension, Casablanca",850 000
121 m²,4 chambres,1 sdb,Étage 4,"Aïn Borja, Casablanca",780 000
107 m²,2 chambres,2 sdbs,Étage 4,"Maarif, Casablanca",1 610 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,546 700
145 m²,3 chambres,2 sdbs,Étage 6,"2 Mars, Casablanca",1 700 000
67 m²,2 chambres,1 sdb,Étage 4,"Ain Sebaa, Casablanca",650 000
72 m²,2 chambres,1 sdb,Étage 2,"C.I.L, Casablanca",1 200 000
186 m²,3 chambres,2 sdbs,Étage 5,"Bourgogne, Casablanca",3 200 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 310 000
166 m²,3 chambres,2 sdbs,Étage 3,"Maarif, Casablanca",2 200 000
240 m²,4 chambres,2 sdbs,Étage 3,"Maarif, Casablanca",2 200 000
213 m²,3 chambres,2 sdbs,Étage 3,"Racine, Casablanca",4 260 000
90 m²,2 chambres,1 sdb,Étage 2,"Bourgogne, Casablanca",1 200 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 750 000
104 m²,2 chambres,2 sdbs,Étage 2,"Palmier, Casablanca",2 200 000
161 m²,3 chambres,2 sdbs,Étage 5,"Quartier des Hôpitaux, Casablanca",2 080 000
99 m²,3 chambres,2 sdbs,Étage 4,"Maârif Extension, Casablanca",1 200 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 092 000
Not Specified,1 chambre,1 sdb,Étage 1,"Casablanca, Hermitage",850 000
97 m²,2 chambres,2 sdbs,Étage 3,"Casablanca, Ferme Bretone",1 940 000
144 m²,2 chambres,2 sdbs,Rez de chaussée,"Casablanca, Californie",1 550 000
122 m²,3 chambres,1 sdb,Étage 5,"Palmier, Casablanca",2 100 000
310 m²,4 chambres,2 sdbs,Étage 1,"2 Mars, Casablanca",3 300 000
107 m²,3 chambres,2 sdbs,Étage 4,"Bourgogne, Casablanca",2 100 000
86 m²,2 chambres,2 sdbs,Étage 4,"Aïn Chock, Casablanca",1 100 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,718 000
95 m²,2 chambres,2 sdbs,Étage 1,"Maârif Extension, Casablanca",1 400 000
185 m²,3 chambres,2 sdbs,Étage 4,"Palmier, Casablanca",2 800 000
132 m²,3 chambres,2 sdbs,Étage 2,"Val Fleuri, Casablanca",1 900 000
141 m²,3 chambres,2 sdbs,Étage 2,"Bourgogne, Casablanca",2 500 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 755 000
162 m²,3 chambres,2 sdbs,Étage 1,"Sidi Belyout, Casablanca",1 741 500
173 m²,3 chambres,1 sdb,Étage 2,"Abdelmoumen, Casablanca",2 200 000
125 m²,3 chambres,2 sdbs,Étage 4,"Bourgogne, Casablanca",2 250 000
Not Specified,2 chambres,2 sdbs,Étage 3,"Centre Ville, Casablanca",1 150 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 250 000
103 m²,2 chambres,2 sdbs,Étage 5,"Bourgogne, Casablanca",1 450 000
171 m²,3 chambres,2 sdbs,Étage 3,"Val Fleuri, Casablanca",2 150 000
135 m²,3 chambres,2 sdbs,Étage 3,"Abdelmoumen, Casablanca",1 800 000
67 m²,2 chambres,1 sdb,Rez de chaussée,"Maârif Extension, Casablanca",920 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,230 000
157 m²,2 chambres,2 sdbs,Étage 1,"Racine, Casablanca",2 770 000
136 m²,3 chambres,1 sdb,Étage 5,"Autre secteur, Casablanca",1 740 000
154 m²,3 chambres,1 sdb,Étage 3,"2 Mars, Casablanca",2 250 000
141 m²,3 chambres,2 sdbs,Not Specified,"Sidi Maarouf, Casablanca",1 000 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,696 000
185 m²,3 chambres,2 sdbs,Étage 2,"2 Mars, Casablanca",2 600 000
80 m²,2 chambres,1 sdb,Étage 1,"Oulfa, Casablanca",850 000
105 m²,2 chambres,2 sdbs,Étage 1,"Aïn Chock, Casablanca",1 350 000
83 m²,2 chambres,1 sdb,Étage 3,"Bourgogne, Casablanca",1 600 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 170 000
109 m²,2 chambres,1 sdb,Rez de chaussée,"Belvédère, Casablanca",1 090 000
30 m²,1 chambre,1 sdb,Not Specified,"Anfa, Casablanca",720 000
101 m²,3 chambres,2 sdbs,Étage 3,"Sidi Bernoussi, Casablanca",860 000
88 m²,2 chambres,1 sdb,Étage 3,"Bourgogne, Casablanca",1 300 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 081 375
155 m²,3 chambres,2 sdbs,Étage 2,"Mers Sultan, Casablanca",1 650 000
213 m²,6 chambres,3 sdbs,Étage 7,"Oasis, Casablanca",3 000 000
148 m²,3 chambres,2 sdbs,Étage 2,"Bourgogne, Casablanca",2 780 000
144 m²,3 chambres,2 sdbs,Étage 2,"Bourgogne, Casablanca",2 600 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,230 000
290 m²,3 chambres,3 sdbs,Étage 7,"Casablanca Finance City, Casablanca",7 000 000
167 m²,3 chambres,3 sdbs,Étage 3,"Maarif, Casablanca",2 672 000
259 m²,4 chambres,2 sdbs,Étage 3,"Maarif, Casablanca",4 500 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,950 000
65 m²,1 chambre,1 sdb,Étage 5,"Casablanca, Casablanca Finance City",800 000
56 m²,1 chambre,1 sdb,Étage 5,"Casablanca, Oasis",1 100 000
141 m²,3 chambres,2 sdbs,Étage 2,"Casablanca, Abdelmoumen",Not Specified
108 m²,3 chambres,2 sdbs,Étage 5,"Maarif, Casablanca",1 600 000
166 m²,4 chambres,2 sdbs,Étage 5,"Racine, Casablanca",3 150 000
Not Specified,2 chambres,1 sdb,Étage 3,"Sidi Moumen, Casablanca",32
127 m²,3 chambres,2 sdbs,Étage 3,"Mers Sultan, Casablanca",1 350 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,10 500
Not Specified,5 chambres,Not Specified,Étage 3,"Centre Ville, Casablanca",1 750
56 m²,2 chambres,1 sdb,Not Specified,"Sidi Moumen, Casablanca",1
199 m²,3 chambres,2 sdbs,Étage 3,"Racine, Casablanca",3 500 000
88 m²,3 chambres,1 sdb,Étage 5,"La Gironde, Casablanca",950 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,803 000
Not Specified,2 chambres,2 sdbs,Étage 4,"Ferme Bretone, Casablanca",1 950 000
65 m²,2 chambres,2 sdbs,Étage 1,"Sidi Moumen, Casablanca",570 000
193 m²,4 chambres,2 sdbs,Étage 3,"Racine, Casablanca",2 550 000
100 m²,3 chambres,1 sdb,Étage 2,"Oulfa, Casablanca",1 250 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2 411 250
Not Specified,2 chambres,1 sdb,Étage 3,"Oulfa, Casablanca",Not Specified
110 m²,3 chambres,1 sdb,Étage 6,"2 Mars, Casablanca",13 500
92 m²,2 chambres,2 sdbs,Étage 3,"Maârif Extension, Casablanca",1 450 000
80 m²,2 chambres,1 sdb,Étage 4,"Ben M'sick, Casablanca",600
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,687 500
293 m²,3 chambres,2 sdbs,Étage 1,"Anfa, Casablanca",3 980 000
Not Specified,3 chambres,2 sdbs,Étage 7,"Bourgogne, Casablanca",1 550 000
Not Specified,1 chambre,Not Specified,Étage 3,"Oasis, Casablanca",1 050 000
96 m²,2 chambres,1 sdb,Étage 4,"C.I.L, Casablanca",1 440 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 600 000
72 m²,2 chambres,2 sdbs,Étage 3,"Ain Sebaa, Casablanca",800
167 m²,3 chambres,2 sdbs,Étage 3,"Maarif, Casablanca",2 350 000
134 m²,3 chambres,1 sdb,Étage 2,"Polo, Casablanca",1 900 000
173 m²,3 chambres,2 sdbs,Étage 5,"Lissasfa, Casablanca",1 400 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
73 m²,1 chambre,2 sdbs,Étage 1,"Derb Omar, Casablanca",843 000
202 m²,3 chambres,2 sdbs,Étage 2,"Californie, Casablanca",3 700 000
135 m²,3 chambres,2 sdbs,Étage 5,"Autre secteur, Casablanca",1 850 000
48 m²,1 chambre,1 sdb,Étage 1,"Abdelmoumen, Casablanca",1 170 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 700 000
147 m²,3 chambres,2 sdbs,Étage 3,"Val Fleuri, Casablanca",2 300 000
123 m²,3 chambres,2 sdbs,Étage 5,"2 Mars, Casablanca",1 770 000
186 m²,3 chambres,2 sdbs,Étage 4,"Maarif, Casablanca",3 720 000
94 m²,3 chambres,2 sdbs,Étage 1,"Errahma, Casablanca",1 211 200
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,815 000
129 m²,3 chambres,2 sdbs,Étage 3,"Val Fleuri, Casablanca",2 100 000
117 m²,2 chambres,2 sdbs,Étage 2,"Racine, Casablanca",2 550 000
66 m²,2 chambres,1 sdb,Étage 6,"Al Fida, Casablanca",580 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,712 000
Not Specified,1 chambre,1 sdb,Étage 1,"Casablanca, Hermitage",850 000
56 m²,1 chambre,1 sdb,Étage 5,"Casablanca, Oasis",1 100 000
105 m²,3 chambres,2 sdbs,Not Specified,"Casablanca, Sidi Bernoussi",975 000
129 m²,3 chambres,2 sdbs,Étage 3,"Val Fleuri, Casablanca",2 100 000
